function,nador_lagoon_1,nador_lagoon_2,oualidia_lagoon_1,oualidia_lagoon_2
"ATP-dependent nuclease, subunit A",2,2,2,2
"ATP-dependent nuclease, subunit B",0,1,0,0
ATP-dependent protease HslV (EC 3.4.25.-),240,208,105,101
ATP-dependent protease La (EC 3.4.21.53),512,480,168,145
ATP-dependent protease La (EC 3.4.21.53) LonB Type I,2,1,3,3
ATP-dependent protease La (EC 3.4.21.53) Type I,541,531,186,185
ATP-dependent protease La (EC 3.4.21.53) Type II,2,2,4,3
ATP-dependent protease LonB Type II,4,3,1,1
"ATP-energized glutathione S-conjugate pump, putative",3,2,16,11
ATP/GTP-binding site motif A,7,5,11,9
"ATPase YjeE, predicted to have essential role in cell wall biosynthesis",72,62,30,19
ATPase component BioM of energizing module of biotin ECF transporter,11,9,1,3
ATPase component CbiO of energizing module of cobalt ECF transporter,2,2,0,0
ATPase component NikO of energizing module of nickel ECF transporter,9,9,1,0
ATPase component STY3233 of energizing module of queuosine-regulated ECF transporter,1,0,0,0
ATPase component of general energizing module of ECF transporters,5,2,4,3
ATPase of the AAA+ family protein associated with FIG137771 hypothetical protein,86,74,58,57
"ATPase required for both assembly of type IV secretion complex and secretion of T-DNA complex, VirB11",9,7,3,4
"ATPase required for both assembly of type IV secretion complex and secretion of T-DNA complex, VirB4",8,7,9,10
"ATPase with chaperone activity, associated with Flp pilus assembly",8,6,1,1
"ATPase, AFG1 family",54,50,22,18
Accessory colonization factor AcfD precursor,2,3,0,0
Accumulation-associated protein AAP,0,0,1,1
Acetaldehyde dehydrogenase (EC 1.2.1.10),3,2,8,5
"Acetaldehyde dehydrogenase, acetylating, (EC 1.2.1.10) in gene cluster for degradation of phenols, cresols, catechol",22,25,7,8
"Acetaldehyde dehydrogenase, ethanolamine utilization cluster",8,10,5,4
Acetate kinase (EC 2.7.2.1),60,44,25,26
Acetate permease ActP (cation/acetate symporter),434,411,225,205
Acetoacetate decarboxylase (EC 4.1.1.4),1,2,1,1
Acetoacetate metabolism regulatory protein AtoC,9,4,4,1
Acetoacetyl-CoA reductase (EC 1.1.1.36),87,70,26,32
Acetoacetyl-CoA reductase (EC 1.1.1.36) of ethylmalonyl-CoA pathway,2,2,0,0
Acetoacetyl-CoA synthetase (EC 6.2.1.16),207,221,74,73
Acetoacetyl-CoA synthetase [leucine] (EC 6.2.1.16),30,28,7,5
Acetoin (diacetyl) reductase (EC 1.1.1.5),2,1,0,0
Acetoin dehydrogenase E1 component alpha-subunit (EC 1.2.4.-),52,52,20,17
Acetoin dehydrogenase E1 component beta-subunit (EC 1.2.4.-),63,49,10,8
Acetolactate synthase large subunit (EC 2.2.1.6),778,743,272,248
Acetolactate synthase small subunit (EC 2.2.1.6),199,194,49,52
"Acetolactate synthase, catabolic (EC 2.2.1.6)",0,0,0,1
Acetophenone carboxylase subunit Apc3,0,0,1,1
Acetyl-CoA C-acyltransferase (EC 2.3.1.16),40,35,6,5
Acetyl-CoA acetyltransferase (EC 2.3.1.9),720,715,196,188
Acetyl-CoA acetyltransferase (EC 2.3.1.9) of ethylmalonyl-CoA pathway,6,1,0,0
"Acetyl-CoA synthase corrinoid iron-sulfur protein, large subunit",0,2,0,0
"Acetyl-CoA synthase corrinoid iron-sulfur protein, small subunit",1,1,1,1
"Acetyl-CoA synthetase (ADP-forming) alpha and beta chains, putative",12,6,11,9
Acetyl-CoA synthetase (ADP-forming) alpha chain (EC 6.2.1.13),1,0,1,2
Acetyl-CoA synthetase (ADP-forming) beta chain (EC 6.2.1.13),3,0,0,0
"Acetyl-CoA:Cys-GlcN-Ins acetyltransferase, mycothiol synthase MshD",5,3,1,1
"Acetyl-CoA:acetoacetyl-CoA transferase, alpha subunit (EC 2.8.3.8)",8,6,2,2
"Acetyl-CoA:acetoacetyl-CoA transferase, beta subunit (EC 2.8.3.8)",1,1,0,0
Acetyl-coenzyme A carboxyl transferase alpha chain (EC 6.4.1.2),512,460,187,172
Acetyl-coenzyme A carboxyl transferase beta chain (EC 6.4.1.2),362,350,88,85
Acetyl-coenzyme A synthetase (EC 6.2.1.1),1547,1460,571,508
Acetylglutamate kinase (EC 2.7.2.8),328,301,112,94
Acetylornithine aminotransferase (EC 2.6.1.11),591,531,144,124
Acetylornithine aminotransferase 2 (EC 2.6.1.11),2,2,1,0
"Acetylornithine aminotransferase, mitochondrial precursor (EC 2.6.1.11) (ACOAT)",0,0,1,0
Acetylornithine deacetylase (EC 3.5.1.16),291,286,61,61
"Acetyltransferase (GNAT) family, Syn7942_2240 homolog",12,10,0,0
Acetyltransferase YpeA,4,3,0,0
Aconitate hydratase (EC 4.2.1.3),699,656,347,346
Aconitate hydratase 2 (EC 4.2.1.3),396,348,107,92
"Aconitate hydratase X, predicted",1,2,1,1
Acriflavin resistance protein,1136,1044,499,470
Acting phosphoribosylanthranilate isomerase (EC 5.3.1.24),1,2,8,7
Acyl carrier protein,221,212,57,53
Acyl dehydratase,36,35,11,10
"Acyl-CoA dehydrogenase, short-chain specific (EC 1.3.99.2)",475,464,117,117
Acyl-CoA hydrolase (EC 3.1.2.20),4,2,2,2
Acyl-CoA synthetase (AMP-forming)/AMP-acid ligase/Peptide synthase,6,4,3,3
Acyl-CoA thioesterase II (EC 3.1.2.-),56,45,32,23
"Acyl-CoA thioesterase YciA, involved in membrane biogenesis",4,2,2,3
Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase (EC 2.3.1.129),268,267,54,63
Acyl-phosphate:glycerol-3-phosphate O-acyltransferase PlsY,82,86,25,18
Acylamino-acid-releasing enzyme (EC 3.4.19.1),45,41,17,10
"Acylphosphate phosphohydrolase (EC 3.6.1.7), putative",17,8,1,2
Acyltransferase family protein associated with ethylmalonyl-CoA pathway,0,0,6,5
Additional periplasmic component NikK of nickel ECF transporter,0,0,1,1
Additional substrate-specific component NikN of nickel ECF transporter,1,2,0,0
"Adenine DNA methyltransferase, phage-associated",2,3,1,0
Adenine deaminase (EC 3.5.4.2),21,21,13,12
Adenine phosphoribosyltransferase (EC 2.4.2.7),136,129,32,35
Adenine-specific methyltransferase (EC 2.1.1.72),31,23,18,16
Adenosine (5')-pentaphospho-(5'')-adenosine pyrophosphohydrolase (EC 3.6.1.-),138,130,19,21
Adenosine deaminase (EC 3.5.4.4),67,68,46,44
Adenosine kinase (EC 2.7.1.20),3,1,2,3
Adenosylcobinamide-phosphate guanylyltransferase (EC 2.7.7.62),29,26,1,1
Adenosylcobinamide-phosphate synthase,86,87,14,9
Adenosylhomocysteinase (EC 3.3.1.1),844,760,387,347
Adenosylmethionine-8-amino-7-oxononanoate aminotransferase (EC 2.6.1.62),238,209,62,66
Adenylate cyclase,64,47,17,16
Adenylate cyclase (EC 4.6.1.1),129,117,55,50
Adenylate kinase (EC 2.7.4.3),236,235,93,83
Adenylate/guanylate cyclase (EC 4.6.1.2),8,9,6,5
Adenylosuccinate lyase (EC 4.3.2.2),512,494,231,195
Adenylosuccinate synthetase (EC 6.3.4.4),620,600,230,216
Adenylyl-sulfate reductase [thioredoxin] (EC 1.8.4.10),8,5,2,3
Adenylylsulfate kinase (EC 2.7.1.25),248,235,107,111
Adenylylsulfate reductase alpha-subunit (EC 1.8.99.2),176,175,59,56
Adenylylsulfate reductase beta-subunit (EC 1.8.99.2),46,50,15,14
Adhesin of unknown specificity SdrC,0,1,5,3
Adhesin of unknown specificity SdrD,0,1,0,2
Aerobic cobaltochelatase CobS subunit (EC 6.6.1.2),264,237,62,65
Aerobic cobaltochelatase CobT subunit (EC 6.6.1.2),277,272,76,63
Aerobic glycerol-3-phosphate dehydrogenase (EC 1.1.5.3),131,134,55,51
Aerobic respiration control sensor protein arcB (EC 2.7.3.-),0,0,9,8
Aerotaxis sensor receptor protein,0,0,1,1
Agglutination protein,7,9,6,2
Agmatinase (EC 3.5.3.11),390,355,81,74
Agmatine deiminase (EC 3.5.3.12),33,38,21,20
"Agmatine/putrescine antiporter, associated with agmatine catabolism",1,1,1,1
Alanine dehydrogenase (EC 1.4.1.1),338,330,102,97
Alanine racemase (EC 5.1.1.1),143,127,46,35
"Alanine racemase, biosynthetic (EC 5.1.1.1)",4,5,5,4
"Alanine racemase, catabolic (EC 5.1.1.1)",6,6,2,3
Alanyl-tRNA synthetase (EC 6.1.1.7),1027,960,352,334
"Alanyl-tRNA synthetase (EC 6.1.1.7), mitochondrial",1,2,1,2
Alanyl-tRNA synthetase domain protein,58,40,3,1
Alcohol dehydrogenase (EC 1.1.1.1),505,444,190,158
Alcohol dehydrogenase (EC 1.1.1.1); Acetaldehyde dehydrogenase (EC 1.2.1.10),1,0,0,1
"Alcohol dehydrogenase, zinc-containing",46,50,6,5
Alcohol sulfotransferase (EC 2.8.2.2),1,0,0,0
Aldehyde dehydrogenase (EC 1.2.1.3),1048,1004,334,301
"Aldehyde dehydrogenase (EC 1.2.1.3), PaaZ",3,3,2,2
Aldehyde dehydrogenase A (EC 1.2.1.22),143,134,32,30
Aldehyde dehydrogenase B (EC 1.2.1.22),196,190,61,58
Aldehyde dehydrogenase in Methylamine utilization cluster,2,2,3,2
"Aldehyde dehydrogenase, mitochondrial precursor (EC 1.2.1.3)",0,0,2,1
Aldo-keto reductase family 1 member B10 (EC 1.1.1.-),1,1,0,0
Aldose 1-epimerase (EC 5.1.3.3),34,26,13,14
Aldose 1-epimerase family protein YeaD,0,0,1,2
Alfa-L-rhamnosidase (EC 3.2.1.40),17,13,20,17
Alginate lyase (EC 4.2.2.3),11,9,1,0
Alginate lyase precursor (EC 4.2.2.3),18,12,6,7
"Aliphatic sulfonate monooxygenase family, FMNH2- or F420-dependent",17,13,4,5
Alkaline phosphatase (EC 3.1.3.1),374,337,67,66
Alkaline phosphatase synthesis transcriptional regulatory protein PhoP,5,3,2,1
Alkanesulfonate monooxygenase (EC 1.14.14.5),5,3,0,0
Alkanesulfonate utilization operon LysR-family regulator CbI,0,0,3,3
Alkanesulfonates ABC transporter ATP-binding protein,3,5,0,0
Alkanesulfonates transport system permease protein,3,5,0,0
Alkanesulfonates-binding protein,2,1,0,0
Alkyl hydroperoxide reductase protein C (EC 1.6.4.-),21,18,37,35
Alkyl hydroperoxide reductase protein F (EC 1.6.4.-),20,21,34,29
Alkyl hydroperoxide reductase subunit C-like protein,178,165,104,99
Alkylated DNA repair protein AlkB,6,6,0,1
Alkylhydroperoxidase protein D,0,1,21,16
Alkylphosphonate utilization operon protein PhnA,7,9,10,14
All3116 protein,28,21,0,0
Allantoate amidohydrolase (EC 3.5.3.9),0,0,2,2
Allantoicase (EC 3.5.3.4),16,15,13,18
Allantoinase (EC 3.5.2.5),6,4,1,1
Allophanate hydrolase (EC 3.5.1.54),2,3,10,13
Allophanate hydrolase 2 subunit 1 (EC 3.5.1.54),56,52,22,23
Allophanate hydrolase 2 subunit 2 (EC 3.5.1.54),80,67,28,22
Allophycocyanin alpha chain,56,46,0,0
Allophycocyanin beta chain,18,14,0,0
Allophycocyanin-B,16,13,0,0
"Alpha,alpha-trehalose-phosphate synthase [UDP-forming] (EC 2.4.1.15)",102,88,22,21
"Alpha-1,2-mannosidase",104,106,18,14
"Alpha-1,3-N-acetylgalactosamine transferase PglA (EC 2.4.1.-)",3,4,2,1
"Alpha-1,4-N-acetylgalactosamine transferase PglH (EC 2.4.1.-)",20,15,0,0
"Alpha-1,4-N-acetylgalactosamine transferase PglJ (EC 2.4.1.-)",4,4,0,0
Alpha-2-macroglobulin,0,0,2,2
"Alpha-D-GlcNAc alpha-1,2-L-rhamnosyltransferase (EC 2.4.1.-)",10,8,5,5
"Alpha-L-Rha alpha-1,2-L-rhamnosyltransferase/alpha-L-Rha alpha-1,3-L- rhamnosyltransferase (EC 2.4.1.-)",1,0,0,0
"Alpha-L-Rha alpha-1,3-L-rhamnosyltransferase (EC 2.4.1.-)",2,2,2,0
Alpha-L-arabinofuranosidase II precursor (EC 3.2.1.55),3,3,5,5
Alpha-L-fucosidase (EC 3.2.1.51),56,54,18,16
Alpha-N-acetylglucosaminidase (EC 3.2.1.50),1,0,2,2
Alpha-N-arabinofuranosidase (EC 3.2.1.55),16,17,6,4
Alpha-N-arabinofuranosidase 2 (EC 3.2.1.55),2,3,3,4
Alpha-acetolactate decarboxylase (EC 4.1.1.5),16,15,0,0
Alpha-aminoadipate aminotransferase (EC 2.6.1.39),2,2,0,0
Alpha-amylase (EC 3.2.1.1),15,12,25,26
Alpha-amylase (Neopullulanase) SusA (EC 3.2.1.135),6,8,1,1
Alpha-amylase SusG (EC 3.2.1.1),0,0,1,0
Alpha-aspartyl dipeptidase Peptidase E (EC 3.4.13.21),17,18,6,5
Alpha-galactosidase (EC 3.2.1.22),117,107,21,19
Alpha-galactosidase precursor (EC 3.2.1.22),1,1,12,7
Alpha-glucosidase (EC 3.2.1.20),76,69,74,67
Alpha-glucosidase AglA,22,20,5,6
Alpha-glucosidase SusB (EC 3.2.1.20),9,5,0,0
"Alpha-glucosidase, family 31 of glycosyl hydrolases, COG1501",12,13,16,16
Alpha-glucoside transport ATP-binding protein AglK,29,24,7,3
Alpha-glucoside transport system permease protein AglG,69,69,32,25
Alpha-glucosides-binding periplasmic protein AglE precursor,75,64,19,21
Alpha-glucuronidase (EC 3.2.1.139),2,2,1,1
Alpha-ketoglutarate-dependent taurine dioxygenase (EC 1.14.11.17),47,40,13,12
Alpha-mannosidase (EC 3.2.1.24),1,1,7,7
Alpha-ribazole-5'-phosphate phosphatase (EC 3.1.3.73),2,2,3,1
Alpha-xylosidase (EC 3.2.1.-),2,1,6,4
Alternative L-arabinose isomerase (EC 5.3.1.4),0,0,1,1
Alternative cytochrome c oxidase polypeptide CoxM (EC 1.9.3.1),20,16,2,0
Alternative cytochrome c oxidase polypeptide CoxN (EC 1.9.3.1),74,70,12,8
Alternative cytochrome c oxidase polypeptide CoxO (EC 1.9.3.1),19,22,1,1
Alternative cytochrome c oxidase polypeptide CoxP (EC 1.9.3.1),105,97,11,11
Alternative dihydrofolate reductase 2,1,1,1,1
Altronate hydrolase (EC 4.2.1.7),292,296,58,53
Altronate oxidoreductase (EC 1.1.1.58),5,4,0,0
Amidase clustered with urea ABC transporter and nitrile hydratase functions,10,8,3,2
Amidases related to nicotinamidase,1,1,1,1
Amidophosphoribosyltransferase (EC 2.4.2.14),724,711,259,242
Amino acid permease in hypothetical Actinobacterial gene cluster,1,2,0,0
Amino acid regulated cytosolic protein,1,0,0,0
Amino acid-binding ACT,1,0,0,0
Amino-acid ABC transporter ATP-binding protein PebC,0,1,0,0
Amino-terminal intein-mediated trans-splice,3,0,2,0
Aminoacyl-histidine dipeptidase (Peptidase D) (EC 3.4.13.3),61,49,18,20
Aminobenzoyl-glutamate transport protein,10,10,8,6
Aminodeoxychorismate lyase (EC 4.1.3.38),97,80,7,6
Aminomethyltransferase (glycine cleavage system T protein) (EC 2.1.2.10),367,351,157,133
Aminopeptidase C (EC 3.4.22.40),15,14,8,10
"Aminopeptidase S (Leu, Val, Phe, Tyr preference) (EC 3.4.11.24)",20,20,9,8
"Aminopeptidase Y (Arg, Lys, Leu preference) (EC 3.4.11.15)",3,3,3,1
"Aminopeptidase YpdF (MP-, MA-, MS-, AP-, NP- specific)",47,44,20,15
Aminotransferase involved in DMSP breakdown,29,25,1,0
Ammonia monooxygenase,1,1,0,0
Ammonium transporter,900,820,301,268
Ammonium transporter family,42,38,2,2
AmpG permease,199,194,88,84
"Anaerobic dehydrogenases, typically selenocysteine-containing",75,58,21,20
Anaerobic dimethyl sulfoxide reductase chain A (EC 1.8.99.-),146,146,47,41
Anaerobic dimethyl sulfoxide reductase chain B (EC 1.8.99.-),57,39,22,17
Anaerobic dimethyl sulfoxide reductase chain C (EC 1.8.99.-),33,28,3,1
Anaerobic glycerol-3-phosphate dehydrogenase subunit A (EC 1.1.5.3),0,0,1,1
Anaerobic glycerol-3-phosphate dehydrogenase subunit C (EC 1.1.5.3),3,1,2,2
Anaerobic nitric oxide reductase flavorubredoxin,0,0,1,1
Anhydro-N-acetylmuramic acid kinase (EC 2.7.1.-),210,181,41,39
Anthranilate dioxygenase reductase,1,0,0,0
Anthranilate phosphoribosyltransferase (EC 2.4.2.18),374,342,113,90
"Anthranilate synthase, amidotransferase component (EC 4.1.3.27)",126,128,44,39
"Anthranilate synthase, aminase component (EC 4.1.3.27)",466,427,144,113
"Antiadhesin Pls, binding to squamous nasal epithelial cells",0,1,7,10
Antiholin-like protein LrgA,5,3,2,2
Antirepressor [Bacteriophage A118],0,0,1,1
ApaG protein,18,19,6,8
Apolipoprotein N-acyltransferase (EC 2.3.1.-),195,191,36,24
Aquaporin Z,34,33,25,22
"Arabinan endo-1,5-alpha-L-arabinosidase (EC 3.2.1.99)",1,1,8,6
Arabinose 5-phosphate isomerase (EC 5.3.1.13),263,248,53,57
Arabinose-proton symporter,6,8,2,2
Archaeal DNA polymerase I (EC 2.7.7.7),1,1,0,0
Archaeal DNA polymerase II large subunit (EC 2.7.7.7),16,11,3,1
Archaeal DNA polymerase II small subunit (EC 2.7.7.7),1,1,0,0
Archaeal flavoprotein COG1036,2,2,0,0
Archaeal succinyl-CoA ligase [ADP-forming] alpha chain (EC 6.2.1.5),2,2,0,0
Archaeal succinyl-CoA ligase [ADP-forming] beta chain (EC 6.2.1.5),0,1,0,0
Archease,0,2,1,1
Arginase (EC 3.5.3.1),15,8,23,20
"Arginine ABC transporter, ATP-binding protein ArtP",0,0,1,1
"Arginine ABC transporter, periplasmic arginine-binding protein ArtI",1,1,0,0
"Arginine ABC transporter, permease protein ArtQ",2,1,0,0
Arginine N-succinyltransferase (EC 2.3.1.109),2,3,4,3
Arginine decarboxylase (EC 4.1.1.19),159,141,69,60
Arginine deiminase (EC 3.5.3.6),6,4,0,0
Arginine exporter protein ArgO,2,1,1,0
"Arginine pathway regulatory protein ArgR, repressor of arg regulon",9,9,5,5
Arginine utilization regulatory protein RocR,2,1,0,0
Arginine-tRNA-protein transferase (EC 2.3.2.8),34,22,4,4
Arginine/agmatine antiporter,0,1,1,1
"Arginine/ornithine ABC transporter, ATP-binding protein AotP",6,8,0,0
"Arginine/ornithine ABC transporter, permease protein AotM",0,0,1,1
"Arginine/ornithine ABC transporter, permease protein AotQ",0,0,1,0
Arginine/ornithine antiporter,1,0,0,0
Argininosuccinate lyase (EC 4.3.2.1),550,506,177,165
Argininosuccinate synthase (EC 6.3.4.5),546,527,162,169
Arginyl-tRNA synthetase (EC 6.1.1.19),573,514,184,184
"Arginyl-tRNA synthetase (EC 6.1.1.19), chloroplast",1,1,0,0
Arogenate dehydratase (EC 4.2.1.91),2,1,0,0
Arogenate dehydrogenase (EC 1.3.1.43),37,33,14,10
Aromatic hydrocarbon utilization transcriptional regulator CatR (LysR family),2,2,0,1
Aromatic-L-amino-acid decarboxylase (EC 4.1.1.28),12,9,4,3
Aromatic-amino-acid aminotransferase (EC 2.6.1.57),21,24,5,4
Arrested fork binding,20,11,2,2
Arsenate reductase (EC 1.20.4.1),146,127,37,49
Arsenic resistance protein ArsH,8,5,3,3
Arsenical pump-driving ATPase (EC 3.6.3.16),14,12,8,6
Arsenical resistance operon repressor,4,4,2,2
Arsenical-resistance protein ACR3,108,93,45,34
Arylsulfatase (EC 3.1.6.1),681,574,250,208
Asp-X dipeptidase,22,24,5,6
Asparagine synthetase [glutamine-hydrolyzing] (EC 6.3.5.4),361,341,84,68
Asparagine synthetase [glutamine-hydrolyzing] (EC 6.3.5.4) AsnB,1,1,1,1
Asparagine synthetase [glutamine-hydrolyzing] (EC 6.3.5.4) AsnH,4,1,9,3
Asparaginyl-tRNA synthetase (EC 6.1.1.22),242,237,65,57
"Asparaginyl-tRNA synthetase (EC 6.1.1.22), chloroplast",2,1,1,1
Aspartate 1-decarboxylase (EC 4.1.1.11),25,19,9,6
Aspartate aminotransferase (EC 2.6.1.1),1054,1084,352,321
Aspartate ammonia-lyase (EC 4.3.1.1),11,16,35,26
Aspartate carbamoyltransferase (EC 2.1.3.2),416,361,146,134
Aspartate carbamoyltransferase regulatory chain (PyrI),1,0,0,0
Aspartate racemase (EC 5.1.1.13),12,11,2,2
Aspartate--ammonia ligase (EC 6.3.1.1),1,1,1,1
Aspartate-semialdehyde dehydrogenase (EC 1.2.1.11),533,466,199,175
Aspartokinase (EC 2.7.2.4),643,599,238,225
Aspartokinase (EC 2.7.2.4) associated with ectoine biosynthesis,0,0,5,5
Aspartyl-tRNA synthetase (EC 6.1.1.12),508,482,163,142
"Aspartyl-tRNA synthetase (EC 6.1.1.12), mitochondrial",0,1,0,0
Aspartyl-tRNA(Asn) amidotransferase subunit A (EC 6.3.5.6),210,198,89,73
Aspartyl-tRNA(Asn) amidotransferase subunit B (EC 6.3.5.6),302,297,130,117
Aspartyl-tRNA(Asn) amidotransferase subunit C (EC 6.3.5.6),8,10,3,3
Aspartyl-tRNA(Asn) synthetase (EC 6.1.1.23),340,320,122,111
Assimilatory nitrate reductase large subunit (EC:1.7.99.4),43,44,10,12
"Autoinducer 2 (AI-2) ABC transport system, fused AI2 transporter subunits and ATP-binding component",1,1,0,0
"Autoinducer 2 (AI-2) ABC transport system, membrane channel protein LsrC",1,0,0,0
Autoinducer 2 (AI-2) aldolase LsrF (EC 4.2.1.-),4,3,3,4
Autolysis histidine kinase LytS,1,0,0,0
Autolysis response regulater LytR,3,1,0,0
B12 binding domain of Methylmalonyl-CoA mutase (EC 5.4.99.2),1,3,0,0
Bacillibactin synthetase component F (EC 2.7.7.-),1,0,0,0
Bacillolysin (EC 3.4.24.28),9,5,2,2
"Bacillolysin, extracellular neutral metalloprotease (EC 3.4.24.28)",2,1,0,0
Bacillosamine/Legionaminic acid biosynthesis N-acetyltrasferase PglD (PseH and NeuD homolog),1,1,0,0
Bacillosamine/Legionaminic acid biosynthesis aminotransferase PglE,10,12,6,3
Bacilysin biosynthesis oxidoreductase BacC,0,0,1,1
Bacterial proteasome-activating AAA-ATPase (PAN),6,3,0,1
Bacterial sugar transferase,9,10,7,7
Bacterioferritin,31,25,11,13
BarA sensory histidine kinase (= VarS = GacS),7,9,9,6
BarA-associated response regulator UvrY (= GacA = SirA),8,7,5,5
BatA (Bacteroides aerotolerance operon),108,99,31,32
BatB,75,66,11,11
BatC,25,26,8,4
BatD,85,76,19,18
BatE,20,20,1,1
BclA protein,5,4,2,7
Believed to be involved in assembly of Fe-S clusters,7,8,5,5
"Benzoate 1,2-dioxygenase (EC 1.14.12.10)",59,57,7,7
"Benzoate 1,2-dioxygenase alpha subunit (EC 1.14.12.10)",3,3,0,0
Benzoate transport protein,0,0,6,5
Benzoate transport related protein,4,4,5,3
"Benzoate transport, ATP binding protein",4,4,2,2
"Benzoate transport, ATPase component",4,8,1,0
"Benzoate transport, extracellular ligand-binding receptor",1,1,1,1
"Benzoate transport, inner-membrane translocator",15,11,1,2
"Benzoate transport, inner-membrane translocator precursor",1,4,1,1
Benzoate-CoA ligase (EC 6.2.1.25),93,95,7,9
Benzoyl-CoA oxygenase component A,25,23,4,2
Benzoyl-CoA oxygenase component B,50,47,5,6
Benzoyl-CoA reductase subunit BadD (EC 1.3.99.15),3,2,0,0
Benzoyl-CoA reductase subunit BadE (EC 1.3.99.15),2,0,0,0
Benzoyl-CoA reductase subunit BadG (EC 1.3.99.15),0,0,1,1
Benzoylacetate CoA-ligase,2,0,0,0
Benzoylformate decarboxylase (EC 4.1.1.7),10,11,2,1
Beta N-acetyl-glucosaminidase (EC 3.2.1.52),50,40,21,19
Beta-(1-->2)glucan export ATP-binding/permease protein NdvA (EC 3.6.3.42),0,0,1,1
"Beta-1,3-glucosyltransferase",6,6,3,2
"Beta-1,4-galactosyltransferase",7,10,12,7
Beta-carotene hydroxylase,57,48,9,9
Beta-carotene ketolase (EC 1.14.-.-),72,66,25,19
Beta-galactosidase (EC 3.2.1.23),162,148,94,86
"Beta-galactosidase (EC 3.2.1.23), LacA family",20,18,2,2
"Beta-galactosidase (EC 3.2.1.23), LacZ family",0,0,1,2
Beta-galactosidase large subunit (EC 3.2.1.23),0,0,1,0
Beta-glucanase precursor (EC 3.2.1.73),66,52,20,19
Beta-glucosidase (EC 3.2.1.21),130,118,64,53
Beta-glucuronidase (EC 3.2.1.31),11,12,3,2
Beta-hexosaminidase (EC 3.2.1.52),176,161,64,50
Beta-ketoadipate enol-lactone hydrolase (EC 3.1.1.24),123,104,22,18
Beta-ketoadipyl CoA thiolase (EC 2.3.1.-),16,13,1,3
Beta-lactamase,325,281,39,34
Beta-lactamase (Cephalosporinase) (EC 3.5.2.6),0,1,0,0
Beta-lactamase (EC 3.5.2.6),40,26,7,5
Beta-lactamase class C and other penicillin binding proteins,46,47,25,15
Beta-lactamase repressor BlaI,0,0,2,2
Beta-mannosidase (EC 3.2.1.25),8,7,3,0
Beta-phosphoglucomutase (EC 5.4.2.6),54,50,2,3
Beta-ureidopropionase (EC 3.5.1.6),97,96,15,13
Beta-xylosidase (EC 3.2.1.37),35,28,8,4
Betaine aldehyde dehydrogenase (EC 1.2.1.8),114,103,44,43
Betaine--homocysteine S-methyltransferase (EC 2.1.1.5),122,114,25,22
Bifunctional PLP-dependent enzyme with beta-cystathionase and maltose regulon repressor activities,56,51,18,17
Bile acid 7-alpha dehydratase BaiE (EC 4.2.1.106),4,4,0,0
Bilin biosynthesis protein CpeY,92,83,0,0
Bilin biosynthesis protein CpeZ,26,25,0,0
Bilin biosynthesis protein MpeU,60,64,0,0
Biofilm PGA synthesis N-glycosyltransferase PgaC (EC 2.4.-.-),0,0,1,0
Biofilm PGA synthesis deacetylase PgaB (EC 3.-),2,0,0,0
Biopolymer transport ExbD protein,1,1,0,0
Biopolymer transport protein ExbD/TolR,117,101,25,21
