level1	level2	level3	function	nador_lagoon_1	nador_lagoon_2	oualidia_lagoon_1	oualidia_lagoon_2
Fatty Acids, Lipids, and Isoprenoids	Fatty acids	Phospholipid_and_Fatty_acid_biosynthesis_related_cluster	3-oxoacyl-[ACP] reductase (EC 1.1.1.100)	2	0	0	0
Fatty Acids, Lipids, and Isoprenoids	Fatty acids	Phospholipid_and_Fatty_acid_biosynthesis_related_cluster	3-oxoacyl-[ACP] synthase	3	2	3	4
Fatty Acids, Lipids, and Isoprenoids	Fatty acids	Fatty_Acid_Biosynthesis_FASII	3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100)	557	552	178	164
Fatty Acids, Lipids, and Isoprenoids	Fatty acids	Fatty_Acid_Biosynthesis_FASII	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	320	326	139	124
Fatty Acids, Lipids, and Isoprenoids	Fatty acids	Fatty_Acid_Biosynthesis_FASII	3-oxoacyl-[acyl-carrier-protein] synthase, KASII (EC 2.3.1.41)	459	422	181	157
Clustering-based subsystems	Fatty acid metabolic cluster	COG1399	3-oxoacyl-[acyl-carrier-protein] synthase, KASIII (EC 2.3.1.41)	485	487	146	126
Miscellaneous	Plant-Prokaryote DOE project	At1g52510_AT4G12830_(COG0596)	3-oxoacyl-[acyl-carrier-protein] synthase, KASIII in hypothetical gene cluster	6	4	6	2
Fatty Acids, Lipids, and Isoprenoids	Fatty acids	Fatty_Acid_Biosynthesis_FASI	3-oxoacyl-coenzyme A reductase of elongase (EC 1.1.1.62)	0	0	1	0
Metabolism of Aromatic Compounds	Metabolism of central aromatic intermediates	Protocatechuate_branch_of_beta-ketoadipate_pathway	3-oxoadipate CoA-transferase subunit A (EC 2.8.3.6)	17	15	5	3
Metabolism of Aromatic Compounds	Metabolism of central aromatic intermediates	Catechol_branch_of_beta-ketoadipate_pathway	3-oxoadipate CoA-transferase subunit B (EC 2.8.3.6)	22	21	6	8
Metabolism of Aromatic Compounds	Metabolism of central aromatic intermediates	Catechol_branch_of_beta-ketoadipate_pathway	3-oxoadipate enol-lactone hydrolase	1	0	0	0
Secondary Metabolism	Aromatic amino acids and derivatives	Cinnamic_Acid_Degradation	3-phenylpropionate dioxygenase ferredoxin subunit	3	2	0	0
Cofactors, Vitamins, Prosthetic Groups, Pigments	Quinone cofactors	Menaquinone_Biosynthesis_via_Futalosine_--_gjo	3-polyprenyl-4-hydroxybenzoate carboxy-lyase (EC 4.1.1.-)	125	115	29	32
Cofactors, Vitamins, Prosthetic Groups, Pigments	Quinone cofactors	Ubiquinone_Biosynthesis	3-polyprenyl-4-hydroxybenzoate carboxy-lyase UbiX (EC 4.1.1.-)	49	48	10	13
Fatty Acids, Lipids, and Isoprenoids	Fatty acids	Fatty_Acid_Biosynthesis_FASII	4'-phosphopantetheinyl transferase (EC 2.7.8.-)	1	4	0	0
Fatty Acids, Lipids, and Isoprenoids	Fatty acids	Polyunsaturated_Fatty_Acids_synthesis	4'-phosphopantetheinyl transferase (EC 2.7.8.-), inferred for PFA pathway	1	0	0	0
Fatty Acids, Lipids, and Isoprenoids	Fatty acids	Fatty_Acid_Biosynthesis_FASI	4'-phosphopantetheinyl transferase of FASI (EC 2.7.8.7)	0	0	1	1
Fatty Acids, Lipids, and Isoprenoids	Isoprenoids	Carotenoids	4,4'-diapolycopene oxidase	22	20	3	5
Carbohydrates	Di- and oligosaccharides	Maltose_and_Maltodextrin_Utilization	4-alpha-glucanotransferase (amylomaltase) (EC 2.4.1.25)	69	64	9	8
Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	Pterin_biosynthesis	4-amino-4-deoxy-L-arabinose transferase and related glycosyltransferases of PMT family	159	137	2	1
Amino Acids and Derivatives	Aromatic amino acids and derivatives	Chorismate:_Intermediate_for_synthesis_of_Tryptophan,_PAPA_antibiotics,_PABA,_3-hydroxyanthranilate_and_more.	4-amino-4-deoxychorismate synthase, amidotransferase component , aminase component (EC 2.6.1.-)	1	1	1	0
Protein Metabolism	Protein processing and modification	N-linked_Glycosylation_in_Bacteria	4-amino-6-deoxy-N-Acetyl-D-hexosaminyl-(Lipid carrier) acetyltrasferase	5	5	2	3
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Putrescine_utilization_pathways	4-aminobutyraldehyde dehydrogenase (EC 1.2.1.19)	36	27	34	27
Metabolism of Aromatic Compounds	Metabolism of central aromatic intermediates	Protocatechuate_branch_of_beta-ketoadipate_pathway	4-carboxymuconolactone decarboxylase (EC 4.1.1.44)	34	38	11	11
Secondary Metabolism	Biosynthesis of phenylpropanoids	Caffeic_acid_derivatives	4-coumarate--CoA ligase 1 (EC 6.2.1.12)	5	5	8	6
Carbohydrates	Monosaccharides	D-Galacturonate_and_D-Glucuronate_Utilization	4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase (EC 5.3.1.17)	9	8	8	11
Fatty Acids, Lipids, and Isoprenoids	Isoprenoids	Isoprenoid_Biosynthesis	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase (EC 2.7.1.148)	122	111	30	26
Metabolism of Aromatic Compounds	NULL	carbazol_degradation_cluster	4-hydroxy-2-oxovalerate aldolase (EC 4.1.3.-)	44	26	3	2
Fatty Acids, Lipids, and Isoprenoids	Isoprenoids	Isoprenoid_Biosynthesis	4-hydroxy-3-methylbut-2-enyl diphosphate reductase (EC 1.17.1.2)	419	361	160	127
Miscellaneous	Plant-Prokaryote DOE project	Experimental-Ubiquinone_BiosynthesisVDC	4-hydroxybenzoate polyprenyltransferase (EC 2.5.1.-)	201	186	42	46
Metabolism of Aromatic Compounds	NULL	Gentisare_degradation	4-hydroxybenzoate transporter	2	0	0	0
Metabolism of Aromatic Compounds	NULL	Benzoate_transport_and_degradation_cluster	4-hydroxybenzoyl-CoA reductase, gamma subunit (EC 1.3.99.20)	1	1	1	2
Membrane Transport	NULL	Ton_and_Tol_transport_systems	4-hydroxybenzoyl-CoA thioesterase family active site	100	89	26	21
Metabolism of Aromatic Compounds	Metabolism of central aromatic intermediates	4-Hydroxyphenylacetic_acid_catabolic_pathway	4-hydroxyphenylacetate 3-monooxygenase (EC 1.14.13.3)	50	41	4	5
Metabolism of Aromatic Compounds	Metabolism of central aromatic intermediates	4-Hydroxyphenylacetic_acid_catabolic_pathway	4-hydroxyphenylacetate 3-monooxygenase, reductase component (EC 1.6.8.-)	0	0	1	0
Cofactors, Vitamins, Prosthetic Groups, Pigments	Quinone cofactors	Plastoquinone_Biosynthesis	4-hydroxyphenylpyruvate dioxygenase (EC 1.13.11.27)	215	190	38	32
Amino Acids and Derivatives	Proline and 4-hydroxyproline	Proline,_4-hydroxyproline_uptake_and_utilization	4-hydroxyproline epimerase (EC 5.1.1.8)	16	14	10	15
Clustering-based subsystems	NULL	EC49-61	4-hydroxythreonine-4-phosphate dehydrogenase (EC 1.1.1.262)	256	240	59	55
Virulence, Disease and Defense	NULL	C_jejuni_colonization_of_chick_caeca	4-keto-6-deoxy-N-Acetyl-D-hexosaminyl-(Lipid carrier) aminotransferase	44	43	23	21
Metabolism of Aromatic Compounds	NULL	Benzoate_transport_and_degradation_cluster	4-oxalocrotonate decarboxylase (EC 4.1.1.77)	16	14	3	4
Metabolism of Aromatic Compounds	Metabolism of central aromatic intermediates	Central_meta-cleavage_pathway_of_aromatic_compound_degradation	4-oxalocrotonate tautomerase (EC 5.3.2.-)	1	0	2	2
Cofactors, Vitamins, Prosthetic Groups, Pigments	Pyridoxine	Pyridoxin(Vitamin_B6)_Degradation_Pathway	4-pyridoxolactonase (EC 3.1.1.27)	0	0	1	0
Sulfur Metabolism	Inorganic sulfur assimilation	Inorganic_Sulfur_Assimilation	4Fe-4S ferredoxin, iron-sulfur binding	187	179	82	62
Nucleosides and Nucleotides	NULL	Adenosyl_nucleosidases	5'-methylthioadenosine nucleosidase (EC 3.2.2.16)	14	15	4	4
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Methionine_Salvage	5'-methylthioadenosine phosphorylase (EC 2.4.2.28)	136	131	53	53
Nucleosides and Nucleotides	Purines	Purine_conversions	5'-nucleotidase (EC 3.1.3.5)	193	157	36	31
Nucleosides and Nucleotides	Detoxification	Housecleaning_nucleoside_triphosphate_pyrophosphatases	5'-nucleotidase YjjG (EC 3.1.3.5)	13	14	0	1
Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	5-FCL-like_protein	5,10-methylenetetrahydrofolate reductase (EC 1.5.1.20)	313	281	97	90
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Coenzyme_B12_biosynthesis	5,6-dimethylbenzimidazole synthase, flavin destructase family	3	3	0	0
Amino Acids and Derivatives	Aromatic amino acids and derivatives	Common_Pathway_For_Synthesis_of_Aromatic_Compounds_(DAHP_synthase_to_chorismate)	5-Enolpyruvylshikimate-3-phosphate synthase (EC 2.5.1.19)	406	373	105	105
Carbohydrates	One-carbon Metabolism	One-carbon_metabolism_by_tetrahydropterines	5-FCL-like protein	1	0	0	0
Cofactors, Vitamins, Prosthetic Groups, Pigments	Riboflavin, FMN, FAD	Riboflavin,_FMN_and_FAD_metabolism	5-amino-6-(5-phosphoribosylamino)uracil reductase (EC 1.1.1.193)	243	230	60	60
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Heme_and_Siroheme_Biosynthesis	5-aminolevulinate synthase (EC 2.3.1.37)	258	236	116	127
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Lysine_degradation	5-aminopentanamidase (EC 3.5.1.30)	2	5	5	3
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Lysine_degradation	5-aminovalerate aminotransferase (EC 2.6.1.48)	0	1	1	1
RNA Metabolism	RNA processing and modification	tRNA_modification_Archaea	5-carboxymethyl uridine and 5-carboxymethyl 2-thiouridine methyltransferase	0	0	1	1
Metabolism of Aromatic Compounds	Metabolism of central aromatic intermediates	Central_meta-cleavage_pathway_of_aromatic_compound_degradation	5-carboxymethyl-2-hydroxymuconate delta-isomerase (EC 5.3.3.10)	21	29	5	7
Metabolism of Aromatic Compounds	Metabolism of central aromatic intermediates	4-Hydroxyphenylacetic_acid_catabolic_pathway	5-carboxymethyl-2-hydroxymuconate semialdehyde dehydrogenase (EC 1.2.1.60)	81	74	32	36
Amino Acids and Derivatives	Aromatic amino acids and derivatives	Aromatic_amino_acid_degradation	5-carboxymethyl-2-oxo-hex-3- ene-1,7-dioate decarboxylase (EC 4.1.1.68)	18	19	5	5
Carbohydrates	Sugar alcohols	Inositol_catabolism	5-deoxy-glucuronate isomerase (EC 5.3.1.-)	90	85	11	13
Miscellaneous	Plant-Prokaryote DOE project	Experimental_-_Histidine_Degradation	5-formyltetrahydrofolate cyclo-ligase (EC 6.3.3.2)	105	100	24	22
Carbohydrates	Sugar alcohols	Inositol_catabolism	5-keto-2-deoxy-D-gluconate-6 phosphate aldolase (EC 4.1.2.29)	28	27	8	3
Carbohydrates	Sugar alcohols	Inositol_catabolism	5-keto-2-deoxy-D-gluconate-6 phosphate aldolase [form 2] (EC 4.1.2.29)	2	3	6	7
Carbohydrates	Sugar alcohols	Inositol_catabolism	5-keto-2-deoxygluconokinase (EC 2.7.1.92)	87	84	16	11
Carbohydrates	Monosaccharides	D-gluconate_and_ketogluconates_metabolism	5-keto-D-gluconate 5-reductase (EC 1.1.1.69)	21	18	4	4
Nucleosides and Nucleotides	Detoxification	Nudix_proteins_(nucleoside_triphosphate_hydrolases)	5-methyl-dCTP pyrophosphohydrolase (EC 3.6.1.-)	32	28	13	14
RNA Metabolism	RNA processing and modification	tRNAmodification_position_34	5-methylaminomethyl-2-thiouridine-forming enzyme mnmC	17	7	2	2
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Methionine_Biosynthesis	5-methyltetrahydrofolate--homocysteine methyltransferase (EC 2.1.1.13)	606	543	322	283
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Methionine_Biosynthesis	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase (EC 2.1.1.14)	26	26	50	52
Miscellaneous	Plant-Prokaryote DOE project	Omega-amidase	5-methylthioribose kinase (EC 2.7.1.100)	7	6	3	2
Clustering-based subsystems	NULL	CBSS-211586.1.peg.3133	5-nucleotidase SurE (EC 3.1.3.5)	107	109	28	27
Amino Acids and Derivatives	Aromatic amino acids and derivatives	Aromatic_amino_acid_degradation	5-oxopent-3-ene-1,2,5-tricarboxylate decarboxylase.	3	3	3	2
Stress Response	Oxidative stress	Glutathione:_Biosynthesis_and_gamma-glutamyl_cycle	5-oxoprolinase (EC 3.5.2.9)	180	151	37	36
Clustering-based subsystems	NULL	CBSS-176279.3.peg.868	50S ribosomal protein acetyltransferase	13	9	1	4
Miscellaneous	Plant-Prokaryote DOE project	COG0523	50S ribosomal subunit maturation GTPase RbgA (B. subtilis YlqF)	39	28	7	9
Protein Metabolism	Protein biosynthesis	rRNAs	5S rRNA	0	0	1	0
Cofactors, Vitamins, Prosthetic Groups, Pigments	Riboflavin, FMN, FAD	Riboflavin,_FMN_and_FAD_metabolism	6,7-dimethyl-8-ribityllumazine synthase (EC 2.5.1.9)	147	128	78	77
Carbohydrates	Di- and oligosaccharides	Beta-Glucoside_Metabolism	6-phospho-beta-glucosidase (EC 3.2.1.86)	0	0	1	1
Carbohydrates	Central carbohydrate metabolism	Glycolysis_and_Gluconeogenesis	6-phosphofructokinase (EC 2.7.1.11)	233	221	86	59
Carbohydrates	Central carbohydrate metabolism	Glycolysis_and_Gluconeogenesis,_including_Archaeal_enzymes	6-phosphofructokinase class II (EC 2.7.1.11)	0	0	1	0
Carbohydrates	Central carbohydrate metabolism	Glycolysis_and_Gluconeogenesis	6-phosphofructokinase, eukaryotic type (EC 2.7.1.11)	1	1	1	1
Carbohydrates	Central carbohydrate metabolism	Pentose_phosphate_pathway	6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)	178	166	68	60
Carbohydrates	Central carbohydrate metabolism	Entner-Doudoroff_Pathway	6-phosphogluconolactonase (EC 3.1.1.31)	17	12	12	7
Carbohydrates	Central carbohydrate metabolism	Pentose_phosphate_pathway	6-phosphogluconolactonase (EC 3.1.1.31), eukaryotic type	31	35	5	3
Miscellaneous	Plant-Prokaryote DOE project	COG1565	6-pyruvoyl tetrahydrobiopterin synthase (EC 4.2.3.12)	74	67	13	8
RNA Metabolism	RNA processing and modification	eukaryotic_rRNA_modification_and_related_functions	60S ribosome subunit biogenesis protein NIP7	0	0	1	1
Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	Methanopterin_biosynthesis2	7,8 dihydropteroate synthase (methanopterin)	4	3	0	0
Cofactors, Vitamins, Prosthetic Groups, Pigments	Coenzyme F420	Coenzyme_F420_synthesis	7,8-didemethyl-8-hydroxy-5-deazariboflavin synthase subunit 1	38	37	4	2
Cofactors, Vitamins, Prosthetic Groups, Pigments	Coenzyme F420	Coenzyme_F420_synthesis	7,8-didemethyl-8-hydroxy-5-deazariboflavin synthase subunit 2	31	35	4	3
Miscellaneous	Plant-Prokaryote DOE project	Biotin_biosynthesis_Experimental	8-amino-7-oxononanoate synthase (EC 2.3.1.47)	68	65	41	37
Miscellaneous	Plant-Prokaryote DOE project	YggW	A/G-specific adenine glycosylase (EC 3.2.2.-)	285	243	63	52
Respiration	Electron accepting reactions	Terminal_AA3-600_quinol_oxidase	AA3-600 quinol oxidase subunit I	2	2	0	0
Membrane Transport	ABC transporters	Periplasmic-Binding-Protein-Dependent_Transport_System_for_&#945;-Glucosides	ABC alpha-glucoside transporter, inner membrane subunit AglF	45	36	11	9
Membrane Transport	Protein secretion system, Type I	Type_I_protein_secretion_systems	ABC exporter for hemopore HasA, ATP-binding component HasD	1	2	2	1
Miscellaneous	Plant-Prokaryote DOE project	COG3533	ABC transport system, sugar-binding protein	11	11	2	2
Iron acquisition and metabolism	NULL	ABC_transporter_[iron.B12.siderophore.hemin]	ABC transporter (iron.B12.siderophore.hemin) , ATP-binding component	3	3	2	3
Iron acquisition and metabolism	NULL	ABC_transporter_[iron.B12.siderophore.hemin]	ABC transporter (iron.B12.siderophore.hemin) , periplasmic substrate-binding component	0	0	1	0
Iron acquisition and metabolism	NULL	ABC_transporter_[iron.B12.siderophore.hemin]	ABC transporter (iron.B12.siderophore.hemin) , permease component	2	0	0	0
Clustering-based subsystems	NULL	USS-DB-6	ABC transporter ATP-binding protein USSDB6B	3	2	2	2
Clustering-based subsystems	Protein export?	CBSS-393121.3.peg.2760	ABC transporter ATP-binding protein uup	5	9	10	9
Respiration	NULL	Biogenesis_of_c-type_cytochromes	ABC transporter involved in cytochrome c biogenesis, ATPase component CcmA	30	28	7	7
Respiration	NULL	Biogenesis_of_c-type_cytochromes	ABC transporter involved in cytochrome c biogenesis, CcmB subunit	41	42	8	11
Membrane Transport	ABC transporters	ATP-dependent_efflux_pump_transporter_Ybh	ABC transporter multidrug efflux pump, fused ATP-binding domains	4	4	0	0
Miscellaneous	Plant-Prokaryote DOE project	At5g48545_and_At3g56490_At1g31160	ABC transporter, ATP-binding protein EcsA	1	1	0	0
Miscellaneous	Plant-Prokaryote DOE project	COG0398	ABC transporter, ATP-binding protein YnjD	5	4	2	2
Clustering-based subsystems	NULL	Listeria_bile_tolerance_locus_BltB	ABC transporter, ATP-binding protein in BtlB locus	1	1	0	0
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Polyamine_Metabolism	ABC transporter, periplasmic spermidine putrescine-binding protein PotD (TC 3.A.1.11.1)	52	41	22	22
Miscellaneous	Plant-Prokaryote DOE project	COG0398	ABC transporter, periplasmic substrate-binding protein YnjB	8	6	8	8
Miscellaneous	Plant-Prokaryote DOE project	COG0398	ABC transporter, permease protein YnjC	9	7	6	5
Clustering-based subsystems	Putative GGDEF domain protein related to agglutinin secretion	CBSS-323850.3.peg.3284	ABC transporter, transmembrane region:ABC transporter:Peptidase C39, bacteriocin processing	19	22	9	8
Clustering-based subsystems	Molybdopterin oxidoreductase	CBSS-269799.3.peg.2220	ABC-type Fe3+ transport system protein	30	32	7	8
Iron acquisition and metabolism	NULL	Heme,_hemin_uptake_and_utilization_systems_in_GramNegatives	ABC-type Fe3+-siderophore transport system permease component	2	1	1	0
Iron acquisition and metabolism	Siderophores	Siderophore_assembly_kit	ABC-type Fe3+-siderophore transport system, ATPase component	1	0	0	0
Iron acquisition and metabolism	Siderophores	Siderophore_assembly_kit	ABC-type Fe3+-siderophore transport system, permease component	9	8	0	0
Iron acquisition and metabolism	Siderophores	Siderophore_assembly_kit	ABC-type hemin transport system, ATPase component	5	1	5	5
Clustering-based subsystems	Cytochrome biogenesis	CBSS-196164.1.peg.1690	ABC-type multidrug transport system, ATPase component	239	206	74	67
Clustering-based subsystems	Cytochrome biogenesis	CBSS-196164.1.peg.1690	ABC-type multidrug transport system, permease component	127	119	59	52
Sulfur Metabolism	Organic sulfur assimilation	Alkanesulfonate_assimilation	ABC-type nitrate/sulfonate/bicarbonate transport system, ATPase component	23	16	7	6
Sulfur Metabolism	Organic sulfur assimilation	Alkanesulfonate_assimilation	ABC-type nitrate/sulfonate/bicarbonate transport system, permease component	6	6	5	3
Sulfur Metabolism	Organic sulfur assimilation	Alkanesulfonate_assimilation	ABC-type nitrate/sulfonate/bicarbonate transport systems, periplasmic components	8	6	4	3
Clustering-based subsystems	Translation	CBSS-326442.4.peg.1852	ABC-type polar amino acid transport system, ATPase component	83	68	58	35
Sulfur Metabolism	Inorganic sulfur assimilation	Inorganic_Sulfur_Assimilation	ABC-type probable sulfate transporter, ATPase component	0	2	0	0
Membrane Transport	Protein secretion system, Type I	Type_I_protein_secretion_systems	ABC-type protease exporter, ATP-binding component PrtD/AprD	8	6	2	2
Membrane Transport	Protein secretion system, Type I	Type_I_protein_secretion_systems	ABC-type protease exporter, membrane fusion protein (MFP) family component PrtE/AprE	1	2	3	1
Iron acquisition and metabolism	NULL	ABC-type_iron_transport_system	ABC-type spermidine/putrescine transport systems, ATPase components	33	26	9	10
Carbohydrates	Di- and oligosaccharides	Maltose_and_Maltodextrin_Utilization	ABC-type sugar transport system, periplasmic binding protein YcjN	8	7	1	1
Miscellaneous	Plant-Prokaryote DOE project	COG3533	ABC-type sugar transport system, permease component	63	51	9	11
Clustering-based subsystems	NULL	USS-DB-6	ABC-type transport system involved in resistance to organic solvents, permease component USSDB6A	5	3	2	2
Membrane Transport	ABC transporters	ABC_transporter_tungstate_(TC_3.A.1.6.2)	ABC-type tungstate transport system, ATP-binding protein	20	14	5	3
Membrane Transport	ABC transporters	ABC_transporter_tungstate_(TC_3.A.1.6.2)	ABC-type tungstate transport system, periplasmic binding protein	85	67	17	18
Membrane Transport	ABC transporters	ABC_transporter_tungstate_(TC_3.A.1.6.2)	ABC-type tungstate transport system, permease protein	26	28	9	9
Clustering-based subsystems	Monosaccharides	Unspecified_monosaccharide_transport_cluster	ACT domain protein	0	0	1	3
Clustering-based subsystems	NULL	CBSS-393124.3.peg.2657	ADA regulatory protein	17	10	6	7
Nucleosides and Nucleotides	Detoxification	Nudix_proteins_(nucleoside_triphosphate_hydrolases)	ADP compounds hydrolase NudE (EC 3.6.1.-)	1	1	1	2
Cell Wall and Capsule	Gram-Negative cell wall components	LOS_core_oligosaccharide_biosynthesis	ADP-L-glycero-D-manno-heptose-6-epimerase (EC 5.1.3.20)	53	45	9	8
Cell Wall and Capsule	Gram-Negative cell wall components	LOS_core_oligosaccharide_biosynthesis	ADP-heptose synthase (EC 2.7.-.-)	53	58	29	23
Miscellaneous	Plant-Prokaryote DOE project	COG0451	ADP-heptose--lipooligosaccharide heptosyltransferase II (EC 2.4.1.-)	33	30	24	25
RNA Metabolism	RNA processing and modification	tRNA_splicing	ADP-ribose 1"-phosphate phophatase	1	1	0	0
Cofactors, Vitamins, Prosthetic Groups, Pigments	NAD and NADP	NAD_and_NADP_cofactor_biosynthesis_global	ADP-ribose pyrophosphatase (EC 3.6.1.13)	38	38	11	10
Nucleosides and Nucleotides	Detoxification	Nudix_proteins_(nucleoside_triphosphate_hydrolases)	ADP-ribose pyrophosphatase, mitochondrial precursor (EC 3.6.1.13)	3	3	0	0
Carbohydrates	NULL	Unknown_carbohydrate_utilization_(_cluster_Yeg_)	ADP-ribosylglycohydrolase YegU (EC 3.2.-.-)	0	0	2	2
Nucleosides and Nucleotides	Purines	Purine_conversions	AMP nucleosidase (EC 3.2.2.4)	82	89	20	17
Nucleosides and Nucleotides	NULL	AMP_to_3-phosphoglycerate	AMP phosphohydrolase	0	0	1	1
